Date,AAPL,MSFT
2020-05-27,78.30760955810547,177.72891235351562
2020-05-28,78.34207916259766,177.32809448242188
2020-05-29,78.2657699584961,179.1365509033203
2020-06-01,79.228271484375,178.7259979248047
2020-06-02,79.59504699707031,180.75930786132812
2020-06-03,80.03324127197266,181.19918823242188
2020-06-04,79.34398651123047,178.81396484375
2020-06-05,81.603759765625,182.99789428710938
2020-06-08,82.08625030517578,184.1318359375
2020-06-09,84.67835998535156,185.53953552246094
2020-06-10,86.85694122314453,192.42147827148438
2020-06-11,82.6868896484375,182.08877563476562
2020-06-12,83.40077209472656,183.52578735351562
2020-06-15,84.43221282958984,184.69883728027344
2020-06-16,86.66983032226562,189.2248992919922
2020-06-17,86.54923248291016,189.87986755371094
2020-06-18,86.58368682861328,191.9132080078125
2020-06-19,86.08889770507812,190.76942443847656
